,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Vestmannaeyjar,20,IS,1558721938,81,63.44,-20.27,50.0,4.7
1,Andilamena,16,MG,1558721939,90,-17.01,48.57,63.66,9.48
2,Hauterive,20,FR,1558721939,37,46.09,3.45,69.8,13.87
3,Zhigansk,99,RU,1558721940,89,66.77,123.37,36.3,10.67
4,Talcahuano,100,CL,1558721940,66,-36.72,-73.12,53.6,10.29
5,Port Alfred,0,ZA,1558721940,93,-33.59,26.89,60.01,1.99
6,Hermanus,0,ZA,1558721941,89,-34.42,19.24,60.01,8.01
7,Ushuaia,90,AR,1558721941,81,-54.81,-68.31,42.8,31.09
8,Hami,68,CN,1558721941,13,42.84,93.51,64.56,14.88
9,Geraldton,90,CA,1558721942,62,49.72,-86.95,53.6,8.05
10,Ambon,40,FR,1558721942,59,47.55,-2.56,66.99,10.29
11,Banda Aceh,5,ID,1558721942,70,5.56,95.32,84.72,3.24
12,Hasaki,0,JP,1558721942,100,35.73,140.83,59.0,1.12
13,Mataura,99,NZ,1558721943,76,-46.19,168.86,53.01,1.99
14,Esperance,40,TT,1558721943,55,10.24,-61.45,91.4,16.11
15,Busselton,37,AU,1558721943,67,-33.64,115.35,54.0,10.29
16,Cockburn Town,34,TC,1558721943,77,21.46,-71.14,80.76,11.86
17,Carnarvon,0,ZA,1558721944,27,-30.97,22.13,63.66,5.35
18,Inhambane,0,MZ,1558721944,82,-23.87,35.38,63.66,3.83
19,Mwingi,99,KE,1558721944,95,-0.93,38.07,65.46,5.01
20,Virginia Beach,1,US,1558721369,65,36.85,-75.98,93.0,9.17
21,Cape Town,0,ZA,1558721945,93,-33.93,18.42,61.0,10.29
22,Albany,40,US,1558721729,60,42.65,-73.75,69.01,21.92
23,Lavrentiya,98,RU,1558721945,82,65.58,-170.99,36.48,4.25
24,Sembakung,95,ID,1558721946,98,3.82,117.25,74.28,1.77
25,Sibu,75,MY,1558721946,100,2.29,111.83,75.2,2.24
26,Hilo,90,US,1558721946,88,19.71,-155.08,75.0,6.93
27,Pevek,42,RU,1558721947,88,69.7,170.27,35.58,8.5
28,East London,0,ZA,1558721947,93,-33.02,27.91,57.2,5.82
29,Butaritari,79,KI,1558721947,78,3.07,172.79,83.1,10.18
30,Yatou,40,CM,1558721947,83,3.63,9.81,82.4,2.24
31,Aswan,0,EG,1558721948,9,24.09,32.9,107.6,4.7
32,Panalingaan,100,PH,1558721948,70,8.78,117.42,85.44,7.09
33,Kapaa,40,US,1558721948,74,22.08,-159.32,80.01,6.93
34,Sao Filipe,3,CV,1558721949,82,14.9,-24.5,72.66,18.39
