,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Avera,1,US,1558723116,46,33.19,-82.53,93.99,8.05
1,Wattegama,100,LK,1558723116,85,7.35,80.68,75.9,4.05
2,Georgetown,75,GY,1558723071,94,6.8,-58.16,77.0,2.24
3,Gizo,0,IL,1558723117,73,31.8,34.94,80.01,9.17
4,Jalu,0,LY,1558723117,17,29.03,21.55,84.72,11.18
5,Albany,40,US,1558723082,60,42.65,-73.75,69.01,21.92
6,Fort Nelson,75,CA,1558723118,54,58.81,-122.69,57.2,1.68
7,Uvira,69,CD,1558723118,98,-3.41,29.14,53.4,2.1
8,Leander,75,US,1558722998,62,30.56,-97.84,89.01,9.17
9,Punta Arenas,40,CL,1558723119,70,-53.16,-70.91,46.4,28.86
10,Arraial do Cabo,75,BR,1558723119,83,-22.97,-42.02,78.8,11.41
11,Rikitea,67,PF,1558723119,73,-23.12,-134.97,75.54,10.16
12,Talnakh,0,RU,1558723119,82,69.49,88.39,32.0,17.9
13,Chepareria,99,KE,1558723120,85,1.32,35.2,66.0,1.5
14,Huarmey,99,PE,1558723120,90,-10.07,-78.15,63.84,10.94
15,New Norfolk,75,AU,1558723120,58,-42.78,147.06,55.4,8.05
16,Nakhon Thai,100,TH,1558723121,71,17.1,100.84,81.12,3.42
17,Upernavik,83,GL,1558723121,77,72.79,-56.15,35.22,4.63
18,Saint-Francois,0,FR,1558723121,49,46.42,3.91,68.0,9.17
19,Ushuaia,75,AR,1558723122,75,-54.81,-68.31,44.6,21.92
20,Victoria,75,BN,1558723122,88,5.28,115.24,80.6,5.3
21,Gazojak,40,TM,1558723123,23,41.19,61.4,80.04,16.93
22,Mataura,99,NZ,1558723123,76,-46.19,168.86,53.01,1.99
23,Altay,0,CN,1558723123,34,47.83,88.13,33.78,8.48
24,Vaini,40,IN,1558723123,88,15.34,74.49,77.0,6.93
25,Springbok,0,ZA,1558723124,23,-29.67,17.88,72.84,3.4
26,Camargo,0,MX,1558723124,10,27.69,-105.17,85.08,5.06
27,Hermanus,0,ZA,1558723124,89,-34.42,19.24,60.01,5.99
28,Bethel,40,US,1558723003,81,60.79,-161.76,48.2,3.36
29,Castro-Urdiales,75,ES,1558723125,93,43.38,-3.22,60.8,11.41
30,Bluff,0,AU,1558723126,91,-23.58,149.07,60.06,7.18
31,Atuona,45,PF,1558723126,76,-9.8,-139.03,81.48,15.7
32,Taoudenni,0,ML,1558723126,10,22.68,-3.98,103.08,13.53
33,Dabola,87,GN,1558723126,36,10.74,-11.11,91.56,7.02
34,Cape Town,0,ZA,1558722974,93,-33.93,18.42,60.01,10.29
35,Barrow,83,AR,1558723127,36,-38.31,-60.23,67.26,10.29
